,fitting_params,freq_range,Subject,run,label,offset,log_knee,exponent,r_squared,error
0,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,LCM1,-9.705259221438101,0.04368974488258849,2.2580019392830595,0.9946783589765721,0.05958344913965423
1,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,LCM2,-9.975112187031296,0.20725493478649304,2.380494840327999,0.9930008260962563,0.06993701702770495
2,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,LCM3,-10.122293612751,0.09422610258887966,2.167544423718189,0.9978228933655723,0.03421350496540773
3,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,LCM4,-10.164102182085633,-0.1950061863322591,1.9750921088851707,0.9923389498937975,0.06276343167553361
4,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,LCM5,-10.211283060887308,0.03656035868736273,2.1047139370939005,0.9961021698716064,0.04386440081923895
5,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,LCM6,-10.285633990676219,0.16573911826134483,2.1786945377280116,0.9962652289378967,0.04686006703661969
6,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,LCM9,-10.166362363006215,0.7569789397082343,2.81174766751387,0.9976650296905277,0.04179014283747346
7,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,LCM10,-9.562320500806484,0.4624466960171027,2.736018789548738,0.9983063114203973,0.032337364836830196
8,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,LCM11,-8.976488517227677,0.21507904791371613,2.717119575882488,0.9988441266116934,0.030964087432908363
9,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,RCM1,-10.096986360680349,0.2600217987831481,2.2645787130802386,0.9943863161190112,0.055610992220873484
10,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,RCM2,-10.272136622454108,-0.0757456832070553,1.9983632061718994,0.9932229884098356,0.05847133986386078
11,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,RCM3,-10.282401153729877,-0.35756483555261037,1.9144007551315407,0.9967720714732776,0.03897753383509383
12,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,RCM4,-10.256846823864395,-0.4097409421814731,1.9385899384538046,0.9894421419323994,0.07364245437625117
13,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,RCM5,-10.231691683967858,0.05905035838276442,2.1258695509705623,0.9954145953190264,0.05020580312675605
14,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,RCM6,-9.991645157598093,-0.06548553351236201,2.0898539059453776,0.9968622980829751,0.043135376505342514
15,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,RCM9,-9.839897099971699,0.5564696444724371,2.6154456972912277,0.9974486432795432,0.03540835224448912
16,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,RCM10,-8.863144808305757,0.2869027461366551,2.7576799193197292,0.9979339768607997,0.03540357433917804
17,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-01,RCM11,-9.334498601268878,0.36223302849931477,2.7548943856038557,0.9946039964571461,0.06918647224981127
18,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,LCM1,-9.631851352600862,0.008212098324497331,2.2674009838388676,0.9952380149681282,0.05605808222152517
19,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,LCM2,-9.912683523927386,0.2154290127256191,2.4043374843081593,0.9930775743496534,0.07038599427386182
20,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,LCM3,-9.998916531663177,-0.049397010746869516,2.1255853337881545,0.9930186425345858,0.06301712567332161
21,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,LCM4,-10.00421135656764,-0.05429215373132046,2.1126370096062987,0.9919695181596349,0.06594396656699283
22,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,LCM5,-10.17950310935591,0.10029811054925715,2.1657094255724942,0.9967310024840399,0.04310082734892015
23,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,LCM6,-10.115609964961907,0.12008226874515407,2.2263917187030597,0.9922464440801974,0.07061084158766949
24,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,LCM9,-10.104431461295304,0.7411211910448043,2.8118172820043745,0.9978339606888532,0.038822188171035554
25,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,LCM10,-9.474096458531227,0.4305692005826839,2.7087531574379264,0.9977665174172423,0.04094239714254099
26,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,LCM11,-8.938251597385769,0.22306363394815465,2.7304282284734835,0.9988594032803632,0.03091682528131253
27,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,RCM1,-9.96853490173077,0.17666658309719932,2.24142636732459,0.9969765017054488,0.04045172608450467
28,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,RCM2,-10.11380829217699,-0.07915426481039657,2.0702904535169755,0.9964111590923757,0.043554315960893805
29,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,RCM3,-10.222402765350036,-0.751945626444332,1.9056696525586698,0.9968414115433273,0.03951992228794391
30,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,RCM4,-10.29692707310952,-0.7052337948954783,1.8861428253151167,0.9877483204663224,0.07472219744388248
31,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,RCM5,-10.158558832954796,0.030896839548253615,2.139296323623546,0.9926099178746192,0.06516853476894177
32,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,RCM6,-9.925242807579375,-0.03853597855667324,2.1245235714225164,0.9965111192345376,0.0472259566912978
33,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,RCM9,-9.519917035313373,0.4313843244139245,2.5878006287487665,0.9984489156912864,0.029480796600324037
34,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,RCM10,-8.838815028946762,0.289942472032616,2.729692093132234,0.9990122804347275,0.028192977389259095
35,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-02,RCM11,-9.254146007138202,0.3025391220033589,2.6493583587805722,0.9925347611055217,0.07108437680354719
36,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,LCM1,-9.6520416291489,-0.04903183554775315,2.239335804638563,0.9964954856614254,0.04714371102094928
37,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,LCM2,-9.91808801707989,0.1903589008312449,2.396878050555485,0.9943447598151642,0.06095207888650818
38,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,LCM3,-10.035842846529686,0.032844684076074784,2.1861361732651114,0.9980687478224713,0.033721611801242925
39,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,LCM4,-10.100107947803869,-0.12454429355483249,2.0468985672503996,0.9941305145706828,0.05661394870292671
40,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,LCM5,-10.149179430035613,-0.030903773767323995,2.1030122801556885,0.9931104102183772,0.06410597985968652
41,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,LCM6,-10.086059126115318,0.04840374940504656,2.2056328950433683,0.992508161791669,0.0700781012066166
42,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,LCM9,-10.157459647429707,0.7657914943843469,2.8423826525387748,0.9977855983014025,0.03788422446447423
43,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,LCM10,-9.475708101517993,0.4215864879150449,2.714103928660174,0.9980644499482212,0.03721199949109005
44,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,LCM11,-8.875253309394054,0.1212694344196687,2.6779503873693185,0.9994238161489183,0.02135919522752725
45,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,RCM1,-10.02687265622538,0.2710587821820899,2.3234963611235133,0.9956947916918846,0.0499606617615368
46,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,RCM2,-10.088585297634989,-0.05043352579752609,2.1172946608721657,0.9951789954010242,0.05166571722520612
47,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,RCM3,-9.922046919221987,0.09142063335581421,2.2658211141081366,0.9815399207932494,0.10180614109485721
48,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,RCM4,-10.280394091323657,-0.3115682677092503,1.9624783373818997,0.9914750725861468,0.06391202463887519
49,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,RCM5,-10.122512750119148,-0.25753396870309836,2.055819640958393,0.9924887377659551,0.06948476068984216
50,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,RCM6,-9.969966695256426,-0.12876710120192617,2.0790797677220447,0.9985999594817041,0.02807754741153377
51,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,RCM9,-9.544371818389777,0.4843072417181402,2.695590872832897,0.9986674735933958,0.02765347189731444
52,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,RCM10,-8.807084214726276,0.27072240416021126,2.7608782214421597,0.9988158793258409,0.03108199654672676
53,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1021,run-03,RCM11,-9.200166654061638,0.35965928846471634,2.8407525293219082,0.9973263006952583,0.04851345016120747
54,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LCM1,-10.470993467741868,0.3422672406442556,2.12875640416073,0.9890403264679337,0.08039721735747818
55,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LCM2,-11.14931614204967,-1.0,1.3556593604524507,0.9943706502981787,0.036504274869805044
56,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LCM3,-11.58184086910617,-1.0,1.1332832758142313,0.9873429120246769,0.05016452919786102
57,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LCM4,-11.665855317669374,-1.0,1.1897647424925342,0.9911398528605552,0.04023510311572012
58,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LCM5,-11.636132057335793,-0.9520493740622716,1.2969510037612004,0.9865366121811067,0.05652686738159637
59,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LCM6,-11.240262828513025,-1.0,1.580606502691408,0.9945048102703029,0.03978594998574707
60,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LCM7,-10.996751804017626,-0.274148250636488,1.6881951062688545,0.9973053595905633,0.031397155267287834
61,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LCM8,-11.016501059391027,0.2239781201468249,1.9280570919436304,0.9943842156146303,0.048816100760758756
62,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LPI1,-10.176800456645907,1.2843947497003947,4.2487493946896135,0.9975201946897776,0.04547466713985086
63,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LPI2,-9.876162323321704,1.0660830607631415,3.763589912267925,0.9971270313068873,0.037489076010361694
64,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LPI3,-10.042640386534295,1.0528707700514819,3.679956687956723,0.9971041750015083,0.034290597659071206
65,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LPI4,-10.199943695870486,1.0441828192128355,3.6144593978862014,0.9962953687836198,0.04745219811026141
66,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LPI5,-10.214533490449432,1.0888247121123757,3.2860943697025546,0.9965430814701246,0.04093043430608448
67,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LPI6,-9.916108255189727,1.1793249840187534,3.9954517585114755,0.9986053189337689,0.03253390549822001
68,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LPI7,-9.954352551043682,0.9891110299258952,3.2831690250099057,0.9977334734908814,0.03296540103691727
69,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LPI8,-10.016045403260053,0.9913684206705151,3.5392017166267005,0.9980638209915158,0.03115020999714753
70,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LPI9,-9.806119639189518,0.9640323370333319,3.7032850693071917,0.9973219785218901,0.05106905752242838
71,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LPI10,-9.684401074539121,0.8529561904592952,3.3423659565280834,0.996388230681432,0.05041342682299769
72,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LPI11,-9.299837338143249,0.7753051120947456,3.496050270248859,0.9980942720780455,0.031647959284561045
73,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LPI12,-8.368746158648227,0.4868359396746793,3.2335942124922976,0.9974980653947939,0.03497945461271186
74,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LPI13,-9.415273167796443,0.7253571589995149,3.285751829369133,0.993988087566534,0.06275763467004784
75,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,LPI14,-9.214909700067917,0.699798583363532,3.5595085789489627,0.9977052847458139,0.03660457604699145
76,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,RCM1,-11.352107649419674,0.5329426418706604,1.9522405194866201,0.99517581631541,0.042104100595348914
77,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,RCM2,-11.504380909264901,0.6187847925814258,1.9954181192980533,0.9969135427535935,0.033421532655445126
78,fooof_1-200hz_r0_bw1_pw25,1-200hz,EM1023,run-02,RCM3,-10.829748036088791,-0.2739007677862604,1.490889334128818,0.9946523822265229,0.03863877802925848
