dbs_target	electrode_type	se_offset	se_log_knee	se_exponent	sd_offset	sd_log_knee	sd_exponent	offset	log_knee	exponent
VIM	dbs	0.0742776673957079	0.07650742279148023	0.037046979737392814	0.28767616881871033	0.2963119743326527	0.143482335550206	1.06747311865393	-0.9893245507417465	1.4193070354265176
VIM	ecog	0.1282885552397233	0.02887282309784013	0.09077105731021463	0.5442822441517999	0.122497014026894	0.385108980957153	1.5790300829806025	1.2318126177815332	3.2020191387707335
STN	dbs	0.11728166754520271	0.06905959448897502	0.059515329905116064	0.42286506600614915	0.24899790899274976	0.21458557364905131	0.8812188497830041	-1	1.301563621249235
STN	ecog	0.11317031094609166	0.023830060737277177	0.05879422616323858	0.5770576238734845	0.12150994470947758	0.29979290649294094	1.7406111054236135	1.244925470284553	3.4110158701969686
GPi	dbs	0.18962258375062205	0.28156344815352324	0.057077585479788064	0.32843594931856196	0.48768219775618765	0.09886127802434853	1.2510951753673165	-0.15643053060471213	1.4312204537017
GPi	ecog	0.08788349582583407	0.100661099420453	0.15954741549090057	0.17576699165166815	0.201322198840906	0.31909483098180114	1.798234029591697	1.0587114510090139	2.9074180761235935
