,subject,session_id,electrode,electrode_type,fooof_export_path,offset,log knee,exponent,tau (ms),rsquared
3543,DBS4080,1,ecog_121,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_121-fooof.json,1.9032279989850165,1.2155984277214444,3.044795008189983,9.687722806875545,0.9954312338091654
3544,DBS4080,1,ecog_122,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_122-fooof.json,2.0329162575570052,1.2600638059129232,3.02256224761254,8.744929763815762,0.9930738155793702
3545,DBS4080,1,ecog_123,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_123-fooof.json,1.9527170298427134,1.316075185088757,3.0973113799879664,7.686788762305597,0.9957344253740011
3546,DBS4080,1,ecog_124,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_124-fooof.json,1.847167980475214,1.2340353623607956,3.263137489343889,9.285061171347412,0.9967222222599615
3547,DBS4080,1,ecog_125,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_125-fooof.json,1.9060091314952505,1.2399295105963803,3.4001693080999473,9.159897650616788,0.9951422299746556
3548,DBS4080,1,ecog_126,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_126-fooof.json,1.7603907507304155,1.3108451908535608,3.4887704053154396,7.779916588734287,0.9946378381029389
3549,DBS4080,1,ecog_127,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_127-fooof.json,1.7728365119221867,1.2782240507797815,3.360973692264265,8.386796028447366,0.9967255781153047
3550,DBS4080,1,ecog_128,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_128-fooof.json,1.5365939725676176,1.210111610205513,3.0111755286884914,9.810892598327841,0.9940757256708294
3551,DBS4080,1,ecog_129,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_129-fooof.json,1.4636389892964528,1.1416329853380172,2.9421944576949217,11.486484908047979,0.9921980358355005
3552,DBS4080,1,ecog_130,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_130-fooof.json,1.5056288501976935,1.0931402045114238,2.8878448841060824,12.843397590519226,0.9940178924556368
3553,DBS4080,1,ecog_131,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_131-fooof.json,1.3908307765581187,1.19891440790751,3.1453058171685475,10.067131087306295,0.9962456539498232
3554,DBS4080,1,ecog_132,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_132-fooof.json,1.3971864898877244,1.222939239391384,3.2599446876135523,9.525348900471968,0.9966589138150616
3555,DBS4080,1,ecog_133,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_133-fooof.json,1.4026410879565736,1.2616700655399422,3.3026554625198647,8.712645946898013,0.9973093149108191
3556,DBS4080,1,ecog_134,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_134-fooof.json,1.446054907302848,1.2759630447611272,3.3486965034582616,8.430572875737338,0.9968196261953215
3557,DBS4080,1,ecog_135,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_135-fooof.json,1.6783319768630705,1.445821947272657,3.656719144621751,5.701618886316867,0.996617398135555
3558,DBS4080,1,ecog_136,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_136-fooof.json,1.5492389622171079,1.3704756016063955,3.6060933870380953,6.781793004978766,0.9979456946335581
3559,DBS4080,1,ecog_137,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_137-fooof.json,1.6324645949588732,1.263320442871057,3.3146823122210924,8.679599552845781,0.997361404940285
3560,DBS4080,1,ecog_138,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_138-fooof.json,1.8320263845790388,1.3497728093585313,3.4162834695033526,7.112910142492146,0.9965222505365061
3561,DBS4080,1,ecog_139,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4080-1-ecog_139-fooof.json,2.0872579757098917,1.3879107380668378,3.6832834832208357,6.514924596588081,0.996261149562965
